Date,spx
27/01/2022,4326.51
26/01/2022,4349.93
25/01/2022,4356.45
24/01/2022,4410.13
21/01/2022,4397.94
20/01/2022,4482.73
19/01/2022,4532.76
18/01/2022,4577.11
14/01/2022,4662.85
13/01/2022,4659.03
12/01/2022,4726.35
11/01/2022,4713.07
10/01/2022,4670.29
07/01/2022,4677.03
06/01/2022,4696.05
05/01/2022,4700.58
04/01/2022,4793.54
03/01/2022,4796.56
31/12/2021,4766.18
30/12/2021,4778.73
29/12/2021,4793.06
28/12/2021,4786.35
27/12/2021,4791.19
23/12/2021,4725.79
22/12/2021,4696.56
21/12/2021,4649.23
20/12/2021,4568.02
17/12/2021,4620.64
16/12/2021,4668.67
15/12/2021,4709.85
14/12/2021,4634.09
13/12/2021,4668.97
10/12/2021,4712.02
09/12/2021,4667.45
08/12/2021,4701.21
07/12/2021,4686.75
06/12/2021,4591.67
03/12/2021,4538.43
02/12/2021,4577.1
01/12/2021,4513.04
30/11/2021,4567
29/11/2021,4655.27
26/11/2021,4594.62
24/11/2021,4701.46
23/11/2021,4690.7
22/11/2021,4682.94
19/11/2021,4697.96
18/11/2021,4704.54
17/11/2021,4688.67
16/11/2021,4700.9
15/11/2021,4682.8
12/11/2021,4682.85
11/11/2021,4649.27
10/11/2021,4646.71
09/11/2021,4685.25
08/11/2021,4701.7
05/11/2021,4697.53
04/11/2021,4680.06
03/11/2021,4660.57
02/11/2021,4630.65
01/11/2021,4613.67
29/10/2021,4605.38
28/10/2021,4596.42
27/10/2021,4551.68
26/10/2021,4574.79
25/10/2021,4566.48
22/10/2021,4544.9
21/10/2021,4549.78
20/10/2021,4536.19
19/10/2021,4519.63
18/10/2021,4486.46
15/10/2021,4471.37
14/10/2021,4438.26
13/10/2021,4363.8
12/10/2021,4350.65
11/10/2021,4361.19
08/10/2021,4391.34
07/10/2021,4399.76
06/10/2021,4363.55
05/10/2021,4345.72
04/10/2021,4300.46
01/10/2021,4357.04
30/09/2021,4307.54
29/09/2021,4359.46
28/09/2021,4352.63
27/09/2021,4443.11
24/09/2021,4455.48
23/09/2021,4448.98
22/09/2021,4395.64
21/09/2021,4354.19
20/09/2021,4357.73
17/09/2021,4432.99
16/09/2021,4473.75
15/09/2021,4480.7
14/09/2021,4443.05
13/09/2021,4468.73
10/09/2021,4458.58
09/09/2021,4493.28
08/09/2021,4514.07
07/09/2021,4520.03
03/09/2021,4535.43
02/09/2021,4536.95
01/09/2021,4524.09
31/08/2021,4522.68
30/08/2021,4528.79
27/08/2021,4509.37
26/08/2021,4470
25/08/2021,4496.19
24/08/2021,4486.23
23/08/2021,4479.53
20/08/2021,4441.67
19/08/2021,4405.8
18/08/2021,4400.27
17/08/2021,4448.08
16/08/2021,4479.71
13/08/2021,4468
12/08/2021,4460.83
11/08/2021,4447.7
10/08/2021,4436.75
09/08/2021,4432.35
06/08/2021,4436.52
05/08/2021,4429.1
04/08/2021,4402.66
03/08/2021,4423.15
02/08/2021,4387.16
30/07/2021,4395.26
29/07/2021,4419.15
28/07/2021,4400.64
27/07/2021,4401.46
26/07/2021,4422.3
23/07/2021,4411.79
22/07/2021,4367.48
21/07/2021,4358.69
20/07/2021,4323.06
19/07/2021,4258.49
16/07/2021,4327.16
15/07/2021,4360.03
14/07/2021,4374.3
13/07/2021,4369.21
12/07/2021,4384.63
09/07/2021,4369.55
08/07/2021,4320.82
07/07/2021,4358.13
06/07/2021,4343.54
02/07/2021,4352.34
01/07/2021,4319.94
30/06/2021,4297.5
29/06/2021,4291.8
28/06/2021,4290.61
25/06/2021,4280.7
24/06/2021,4266.49
23/06/2021,4241.84
22/06/2021,4246.44
21/06/2021,4224.79
18/06/2021,4166.45
17/06/2021,4221.86
16/06/2021,4223.7
15/06/2021,4246.59
14/06/2021,4255.15
11/06/2021,4247.44
10/06/2021,4239.18
09/06/2021,4219.55
08/06/2021,4227.26
07/06/2021,4226.52
04/06/2021,4229.89
03/06/2021,4192.85
02/06/2021,4208.12
01/06/2021,4202.04
28/05/2021,4204.11
27/05/2021,4200.88
26/05/2021,4195.99
25/05/2021,4188.13
24/05/2021,4197.05
21/05/2021,4155.86
20/05/2021,4159.12
19/05/2021,4115.68
18/05/2021,4127.83
17/05/2021,4163.29
14/05/2021,4173.85
13/05/2021,4112.5
12/05/2021,4063.04
11/05/2021,4152.1
10/05/2021,4188.43
07/05/2021,4232.6
06/05/2021,4201.62
05/05/2021,4167.59
04/05/2021,4164.66
03/05/2021,4192.66
30/04/2021,4181.17
29/04/2021,4211.47
28/04/2021,4183.18
27/04/2021,4186.72
26/04/2021,4187.62
23/04/2021,4180.17
22/04/2021,4134.98
21/04/2021,4173.42
20/04/2021,4134.94
19/04/2021,4163.26
16/04/2021,4185.47
15/04/2021,4170.42
14/04/2021,4124.66
13/04/2021,4141.59
12/04/2021,4127.99
09/04/2021,4128.8
08/04/2021,4097.17
07/04/2021,4079.95
06/04/2021,4073.94
05/04/2021,4077.91
01/04/2021,4019.87
31/03/2021,3972.89
30/03/2021,3958.55
29/03/2021,3971.09
26/03/2021,3974.54
25/03/2021,3909.52
24/03/2021,3889.14
23/03/2021,3910.52
22/03/2021,3940.59
19/03/2021,3913.1
18/03/2021,3915.46
17/03/2021,3974.12
16/03/2021,3962.71
15/03/2021,3968.94
12/03/2021,3943.34
11/03/2021,3939.34
10/03/2021,3898.81
09/03/2021,3875.44
08/03/2021,3821.35
05/03/2021,3841.94
04/03/2021,3768.47
03/03/2021,3819.72
02/03/2021,3870.29
01/03/2021,3901.82
26/02/2021,3811.15
25/02/2021,3829.34
24/02/2021,3925.43
23/02/2021,3881.37
22/02/2021,3876.5
19/02/2021,3906.71
18/02/2021,3913.97
17/02/2021,3931.33
16/02/2021,3932.59
12/02/2021,3934.83
11/02/2021,3916.38
10/02/2021,3909.88
09/02/2021,3911.23
08/02/2021,3915.59
05/02/2021,3886.83
04/02/2021,3871.74
03/02/2021,3830.17
02/02/2021,3826.31
01/02/2021,3773.86
29/01/2021,3714.24
28/01/2021,3787.38
27/01/2021,3750.77
26/01/2021,3849.62
25/01/2021,3855.36
22/01/2021,3841.47
21/01/2021,3853.07
20/01/2021,3851.85
19/01/2021,3798.91
15/01/2021,3768.25
14/01/2021,3795.54
13/01/2021,3809.84
12/01/2021,3801.19
11/01/2021,3799.61
08/01/2021,3824.68
07/01/2021,3803.79
06/01/2021,3748.14
05/01/2021,3726.86
04/01/2021,3700.65
31/12/2020,3756.07
30/12/2020,3732.04
29/12/2020,3727.04
28/12/2020,3735.36
24/12/2020,3703.06
23/12/2020,3690.01
22/12/2020,3687.26
21/12/2020,3694.92
18/12/2020,3709.41
17/12/2020,3722.48
16/12/2020,3701.17
15/12/2020,3694.62
14/12/2020,3647.49
11/12/2020,3663.46
10/12/2020,3668.1
09/12/2020,3672.82
08/12/2020,3702.25
07/12/2020,3691.96
04/12/2020,3699.12
03/12/2020,3666.72
02/12/2020,3669.01
01/12/2020,3662.45
30/11/2020,3621.63
27/11/2020,3638.35
25/11/2020,3629.65
24/11/2020,3635.41
23/11/2020,3577.59
20/11/2020,3557.54
19/11/2020,3581.87
18/11/2020,3567.79
17/11/2020,3609.53
16/11/2020,3626.91
13/11/2020,3585.15
12/11/2020,3537.01
11/11/2020,3572.66
10/11/2020,3545.53
09/11/2020,3550.5
06/11/2020,3509.44
05/11/2020,3510.45
04/11/2020,3443.44
03/11/2020,3369.16
02/11/2020,3310.24
30/10/2020,3269.96
29/10/2020,3310.11
28/10/2020,3271.03
27/10/2020,3390.68
26/10/2020,3400.97
23/10/2020,3465.39
22/10/2020,3453.49
21/10/2020,3435.56
20/10/2020,3443.12
19/10/2020,3426.92
16/10/2020,3483.81
15/10/2020,3483.34
14/10/2020,3488.67
13/10/2020,3511.93
12/10/2020,3534.22
09/10/2020,3477.13
08/10/2020,3446.83
07/10/2020,3419.45
06/10/2020,3360.95
05/10/2020,3408.63
02/10/2020,3348.44
01/10/2020,3380.8
30/09/2020,3363
29/09/2020,3335.47
28/09/2020,3351.6
25/09/2020,3298.46
24/09/2020,3246.59
23/09/2020,3236.92
22/09/2020,3315.57
21/09/2020,3281.06
18/09/2020,3319.47
17/09/2020,3357.01
16/09/2020,3385.49
15/09/2020,3401.2
14/09/2020,3383.54
11/09/2020,3340.97
10/09/2020,3339.19
09/09/2020,3398.96
08/09/2020,3331.84
04/09/2020,3426.96
03/09/2020,3455.06
02/09/2020,3580.84
01/09/2020,3526.65
31/08/2020,3500.31
28/08/2020,3508.01
27/08/2020,3484.55
26/08/2020,3478.73
25/08/2020,3443.62
24/08/2020,3431.28
21/08/2020,3397.16
20/08/2020,3385.51
